,input,output,instruction
15,BBC1 Radio Live Lounge,"I'm American, I am not British
So BBC, it stands for somethin' different
This Live Lounge is so lit because I'm in it
Innit, because I'm innit, you get it?

Fort Lauderdale, Florida, March 16, 2023
I've got a dirty mind but I am so pure
Call me Dora, his body I explore
Fort Lauderdale, you're kicking off the whole tour",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
16,St. Petersburg,"St. Petersburg that is so many syllables
I heard the lips here are like super kissable
He asked how many fingers I said minimal",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
17,New Orleans,"All you bitches out here lookin' gorgeous
I heard you flash your titties in New Orleans
I'm not participating but supportin'",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
18,Houston,"Made it to the outro how you doin'?
I'm starting to think love is an illusion
Beyoncé is the greatest thing from Houston",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
19,Dallas,"Everything is bigger here in Dallas
Cowboys call me if you want to practice
Make some noise if you would ever tap this",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
20,San Antonio,"I just wanna ride him like a rodeo
but first, he gotta grow it like Pinocchio
Sorry I'm so vulgar San Antonio",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
21,Austin,"You should do more kissin' and less talkin'
Boys are like a buffet, I want options
I heard the hottest people live in Austin",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
22,Tulsa,"He gave me the D and it's A plus
Oklahoma you're so cute it's too much
Tulsa backwards is actually a slut",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
23,Denver,"Hope he's bigger than a chicken tender
I wrote a funny line I don't remember
Hands up if you're high tonight in Denver",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
24,Salt Lake City,"Put your hands up if you live in Salt Lake
How do you get alcohol on Sundays?
I'm pregnant... happy April Fools' Day",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
25,Garden City,"I pronounce it wrong I say I-day-ho
He said ""Can I smash?"", I said ""Potatoes""
Thank you so much, this was such a great show",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
26,Calgary,"Three times in one night can be my hat trick
Put your hands up if you're really that bitch
Calgary you do not rhyme with jack shit",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
27,Edmonton,"He oiler-ed me up like I was Edmonton
That was me trying a hockey reference
Imma give this crowd 11/10",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
28,Vancouver,"I see a hot boyfriend in my future
I could never get a job at Hooters
Vancouver you just can't get any cuter",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
29,Seattle,"You look like somebody I would straddle
I might even let you win at Scrabble
Let me see how loud you get Seattle",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
30,San Francisco,"Some parents think my concerts are a strip show
Where'd you get your shirt? It's fucking sick bro
Baby, you're so golden, San Francisco",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
31,San Francisco,"I don't want a boy, I want a man, man
Bet you wish that I had Only Fans, fans
The second crowd in San Fran is the bestest",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
32,Sacramento,"Listen to this awesome instrumental
...
Wasn't that joke funny, Sacramento",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
33,San Diego,"He got me so wet he need a raincoat
Please put ""She was perfect"" on my gravestone
Way to keep it classy, San Diego",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
34,Los Angeles,"Was gonna throw some shade, but that got vetoed
Does anybody have an extra pre-roll
'Cause it's 4/20 it's my fucking Greek show",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
35,Las Vegas,"Put your hands up if your ex is heinous
Scream it if this song is on your playlist
What happens in Vegas stays in Vegas",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
36,Mesa,"Please come over, boy, I'm all alone-a
Come and help me, you might get a bone-a
Snapple's not as good as Arizona",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
37,Kansas City,"Raise your hand if you're a little tipsy
Sex with me is like joining the swim team
I think this is my favorite Kansas City",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
38,Minneapolis,"Boy, I hope you're bigger than the average
Do you think I'm cute or were you catfished?
Show me your twin cities Minneapolis",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
39,Madison,"I know like a million girls named Madison
When I get a cold I take my Madison
Scream if you like cheese and live in Madison",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
40,Chesterfield,"He said I taste better than a Slurpee
Are you TSA, boy, you can search me
Missouri is amazing, I'm not worthy",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
41,Nashville,"Maybe you won't date me, but your dad will
Tonight I will be drinkin', who's got Advil?
Did you know I wrote this song in Nashville?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
42,Indianapolis,"He said it was big, but it was mini
I like it Fast and Furious like Vin D
Indy is too perfect, someone pinch me",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
43,Toronto,"I need you to take off my clothes pronto
Here is where I'm gonna hit a wrong note
I love you, will you marry me Toronto?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
44,Detroit,"Bzzz is a bee's noise
He's been fillin' more than just a deep void
Do the boys have bigger D's in Detroit",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
45,Cleveland,"If it's small that's super inconvenient
If he doesn't know this song you should leave him
I wish that I could put the cleve in Cleveland",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
46,Boston,"You say I'm a slut, well if the shoe fits
I don't have this number, baby, who's this?
I only park my car in Massachusetts",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
47,New York,"You’re all super hot but can you lip read?
Tomorrow is my birthday I want dick, please
I said scream if you love New York City, that's what I said... scream!",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
48,New York,"Guess what it's my birthday so I don't have to sing an outro tonight
I can do whatever the fuck I want 'cause it's my birthday
Yeah, yeah, yeah, yeah, yeah, yeah, oh yeah, baby, yeah",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
49,Philadelphia,"Can you warm me up, I'm super chilly?
I'm a bank account, boy, you should fill me
You know I got special love for Philly",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
50,Washington,"Revolution war, the British started it
In his pants is the Washington Monument
DC stands for ""Dope crowd"", I just thought of it",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
51,Raleigh,"My rack is the opposite of Dolly
Last night in my dream I was a tall me
He said that he's big I said ""Oh Raleigh""",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
52,Atlanta,"He hit me so hard I'm walking on a slant-a
This body is in super high demand-a
I heard they like my peaches in Atlanta",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
53,Gulf Shores,"Old people think I'm Hannah Montana
He's so big I need an extra hand-a
Make some noise for Sweet Home Alabama",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
54,Rio de Janeiro,"He made me so wet I need a lifeguard
I think I would give this country five stars
Eu te amo Brazil, you have my heart",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
55,São Paulo,"Obrigado for the streams and downloads
Got off the plane and I became the town hoe
'Cause everyone's so sexy in São Paulo",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
56,Dublin,"When I'm in the bed, you know I'm snugglin'
When I'm in the bathtub, I'm in bubblin'
When I turn him on that dick is Dublin",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
57,Glasgow,"He said that I'm hotter than Tabasco
I'm just a pint away from shake my ass mode
I recycle, baby, where's the Glasgow?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
58,Manchester,"Should I root for City or United?
You know footballs get me so excited
Manchester, I love to be inside it",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
59,Newport,"I thought he was the one but it was too short
BBC don't like my sense of humor
Everybody's proper fit in Newport",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
60,Birmingham,"All the names of British boys I'm learnin' 'em
Everyone I date I keep returnin' 'em
Gotta love the accent here in Birmingham",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
61,London,"Harry Potter, Peter Pan, and Big Ben
Sherlock Holmes, Adele, and bloody West End
Dua Lipa, Nando's, I love London",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
62,Brussels,"Take your shirt off, let me see your muscles
Call me pretty, feed me chocolate truffles
My favorite veggie and city is Brussels",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
63,Cologne,"Down below the waistline is the fun zone
Baby, hit me if you want to come bone
Ich liebe dich you know I love you, Cologne",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
64,Amsterdam,"He took me to red-light so I ran home
That boy's not a player he's a manhoe
I look so good he's saying amster damn bro",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
65,Berlin,"Me degrading you, boy, I'm just flirting
One too many stunners I'll be twerking
We got some big ol'broads out here in Berlin",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
66,Stockholm,"He tapped it so good it's hard to walk home
If I was a billionaire I would yacht home
Everyone's so fucking hot in Stockholm",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
67,London,"Boy, I'm in your area like Blackpink
I just wanna snog and do some shagging
Playing in Hyde Park is such a madting",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
68,Paris,"Boy, that thing's so big I have to share it
What's ""Ménage a trois""? Go ask your parents
Voulez-vous coucher avec moi, Paris?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
69,Tokyo,"I just ate some sushi to satisfy me
But not as much as when that dick inside me
Tokyo I love you, mecha daisuki",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
70,Osaka,"Fell so hard for me, he need a doctor
He's so hot he opened up my chakras
Y'all are too kawaii in Osaka",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
71,Lumpur,"Bitch, I'm in Malaysia it's a world tour
Hit it so good he wanted an encore
Let me hear you scream Kuala Lumpur",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
72,Jakarta,"Your body is what I want a part of
Bet your ass that I can get it harder
How loud can you scream right now Jakarta",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
73,Manila,"His ex is a motel, I'm a villa
He said I taste better than vanilla
What's your favourite city? Mine's Manila",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
74,Singapore,"When he calls me I know what he's craving
I'm looking like a snack, he wanna taste it
I don't Singapore, I sing amazing",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
75,Bangkok,"If you want some cake I got a bake shop
He be getting off like it's a train stop
It goes without saying that I Bangkok",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
76,Chicago,"Perhaps I am a dick aficionado
Windy city blow I'm gonna swallow
Now he calls it giving him Chicago",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
77,Chicago,"Turn that dick to stone, call me Medusa
Choking on him need Heimlich maneuver
Sorry I don't date lollapalooz-ers",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
78,Mexico City,"I only date him if he pays my rent-ay
If you are a Swiftie you're mi gente
Let me hear you make some noise DF",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
79,Mexico City,"He said where you at I said I'm busy
Sippin' on tequila gettin' tipsy
Con mis chicas in Mexico City",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
80,Mexico City,"I'm full grown, but I look like a niña
Come put something big in my casita
Mexico, I think you are Bonita",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
81,Mexico City,"Felt so good he made me hit the top note
Eras tickets, girl, you won the lotto
Mexico I kinda think te amo",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
82,Buenos Aires,"How to ride him, I can think of 5 ways
My head goes so hard I'm giving migraines
How loud do you get in Buenos Aires?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
83,Buenos Aires,"He said, ""What's your name?"" I said ""Sabrina""
Saw that obelisco I said ""Que linda""
Who's the loudest here in Argentina?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
84,Buenos Aires,"When I'm in the bedroom I get sexy
He's having a ball, he calls me Messi
Argentina, will you be my bestie?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
85,Rio de Janeiro,"Sippin' on me like a caipirinha
How to turn me on, boy, I can teach ya
My new name is ipanema brina",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
86,Rio de Janeiro,"It's kinda small, but I don't even care though
Cupid must've hit me with an arrow
Because I'm in love with Rio de Janeiro",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
87,Rio de Janeiro,"Boy, come over, this is not a drill
He said ""Get on top"", I said ""I will""
Then he made me come to Brazil",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
88,São Paulo,"Just give it to me, boy, I'll tell you how slow
I'll be your loirinha on the down-low
I love it when you sing to me São Paulo",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
89,São Paulo,"I'm a 9, but I'm a 10 without clothes
He said I'm the prettiest but how so?
'Cause all the hottest girls are in São Paulo",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
90,São Paulo,"He said, ""Let's get married"", I said ""Chill""
Boy, I said I'm hungry get my fill
I heard the nuts are better in Brazil",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
91,Los Angeles,"On my knees and stockings, that's a snowjob
Bring that firewood I'll sip the eggnog
Let me hear you scream your Jingle Balls off",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
92,New York,"Tell me is that giant package for me?
Santa's too excited, he came early
Jingle Ball you're so hot I'm not worthy",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
93,Boston,"I heard that he's hung just like a stockin'
Give my gingerbread some extra frostin'
Scream if you've been really naughty Boston",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
94,Atlanta,"I sat on Santa's lap and handled business
Me without my clothes is on his wishlist
I love you Atlanta, Merry Christmas",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
95,New York,"Clark is everybody's favorite dick type
Make a toast to everyone you dislike
Balls are dropping everywhere at midnight",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
96,Melbourne,"D-I-C-K, I am good at spelling
Tastes so good I need a second helping
Aren't you glad I know how to say Melbourne",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
97,Melbourne,"I don't say ""Hello"", I say ""G'day mate""
I don't make a bevvy, I'm a lightweight
Melbourne, I just came, I saw, and I ate",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
98,Melbourne,"Broke up 'cuz the size was underwhelming
Tried to give him pointers, wasn't helping
Maybe I just need a boy from Melbourne",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
99,Sydney,"When you go down under do you miss me?
He's so big I felt it in my kidney
Screamed so loud they heard it here in Sydney",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
100,Sydney,"Yeah, he's pretty cute but will our kids be?
This country's so big I hope it fit me
I vegimite be in love with you, Sydney",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
101,Sydney,"I can't believe a plane can fly this far
I met the cutest Aussie at the bar
He said, ""Are you from here?"" I said ""Naur""",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
102,Singapore,"Gardens by the Bay I wanna go there
Then I'll take you somewhere that has no hair
Singapore you're so perfect it's no fair",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
103,Singapore,"He said that he wishes he was on me
Got me wetter than Jewel Changi
Singapore I hope you like my song-y",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
104,Singapore,"This crowd ate me up like I'm an omelette
I swear I'm coming back here, that's a promise
You cleared all my Singa-pores, I'm flawless",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
105,Singapore,"I told that boy to sit me down on all fours
I told that boy ""Go faster,"" now I'm all sore
You hit a little different here in Singapore",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
106,Singapore,"Do boys like you more when you're ignoring them?
If I don't make dick jokes am I boring then?
I said ""Walao"", am I Singaporean?",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
107,Singapore,"Fell in love with you, I think I'm done for
Came five times but I think I need one more
You're the greatest night I've had Singapore",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
108,Coachella,"All about the balls, I'm Cinderella
Only use my mouth that's acapella
I'm so glad you came for me Coachella",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
109,Coachella,"Made his knees so weak he had to spread mine
He's drinkin' my bath water like it's red wine
Coachella, see you back here when I headline",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
110,Saturday Night Live,"He is 30 rock hard 'cause I said ""Hi""
My sense of humor is but I am not dry
SNL I just came for the first time",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
111,BBC1 Radio Live,"BBC said I should keep it PG
BBC I wish I had it in me
There's a double meaning if you dig deep",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
112,Governors Ball,"Do I text him back? It's such a tough call
That won't fit inside me, bro, I'm dumb small
People who hate pride can suck my gov balls",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
113,Capital's Summertime Ball,"Boy, that thing so big I call it ""Wembley""
I stay on that head and do it rent free
Capital FM you bloody wrecked me",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
114,Outside Lands,"Soon cometh my album so exciting
My heart doth pound beneath my breasts, so mighty
Outside Lands, it’s like thou art inside me",Generate a verse that creatively incorporates the given city name in a whimsical and slighly naughty way.
